year,movie,certificate,duration,genre,rate,metascore,Oscar_nominated,release_date.year,release_date.month,release_date.day-of-week,Oscar_Best_Picture_won
2008,The Hurt Locker,R,131,Drama|History|Thriller,7.6,94,9,2009,7,5,Yes
2009,Precious,R,110,Drama,7.3,79,6,2009,11,5,No
2010,Black Swan,R,108,Drama|Thriller,8,79,5,2010,12,5,No
2010,The Fighter,R,116,Biography|Drama|Sport,7.9,79,7,2010,12,5,No
2011,Hugo,PG,126,Adventure|Drama|Family,7.5,83,11,2011,11,3,No
2008,The Reader,R,124,Drama|Romance,7.6,58,5,2009,1,5,No
2013,The Wolf of Wall Street,R,180,Biography|Comedy|Crime,8.2,75,5,2013,12,3,No
2008,Slumdog Millionaire,R,120,Drama,8,86,10,2008,12,4,Yes
2008,Milk,R,128,Biography|Drama|History,7.6,84,8,2009,1,5,No
2009,A Serious Man,R,106,Comedy|Drama,7,79,2,2009,11,5,No
2014,Selma,PG-13,128,Biography|Drama|Histor,7.5,89,2,2015,1,5,No
2012,Argo,R,120,Biography|Drama|History,7.7,86,7,2012,10,5,Yes
2020,The Father,PG-13,97,Drama,8.3,88,6,2021,2,5,No
2011,The Descendants,R,115,Comedy|Drama,7.3,84,5,2011,12,5,No
2012,Silver Linings Playbook,R,122,Comedy|Drama|Romance,7.8,81,8,2012,12,2,No
2009,Up,PG,96,Animation|Adventure|Comedy,8.3,88,5,2009,5,5,No
2020,Mank,R,131,Biography|Comedy|Drama,7,79,10,2020,12,5,No
2020,Minari,PG-13,115,Drama,7.6,89,6,2021,2,5,No
2014,Boyhood,R,165,Drama,7.9,100,6,2014,8,5,No
2020,The Trial of the Chicago 7,R,129,Drama|History|Thriller,7.8,76,6,2020,10,5,No
2009,District 9,R,112,Action|Sci-Fi|Thriller,8,81,4,2009,8,5,No
2009,An Education,PG-13,100,Drama,7.3,85,3,2010,2,5,No
2009,Up in the Air,R,109,Drama|Romance,7.4,83,6,2009,12,3,No
2011,Moneyball,PG-13,133,Biography|Drama|Sport,7.6,87,6,2011,9,5,No
2010,The Social Network,PG-13,120,Biography|Drama,7.7,95,8,2010,10,5,No
2019,The Irishman,R,209,Biography|Crime|Drama,8,94,10,2019,11,3,No
2010,Inception,PG-13,148,Action|Adventure|Sci-Fi,8.8,74,8,2010,7,5,No
2015,Mad Max: Fury Road,R,120,Action|Adventure|Sci-Fi,8.1,90,10,2015,5,5,No
2010,Winter's Bone,R,100,Drama,7.2,90,4,2010,7,5,No
2010,True Grit,PG-13,110,Adventure|Drama|Western,7.7,80,10,2010,12,3,No
2011,The Help,PG-13,146,Drama,8.1,62,4,2011,8,3,No
2013,Gravity,PG-13,91,Adventure|Drama|Sci-Fi,7.8,96,10,2013,10,5,No
2010,The King's Speech,R,118,Biography|Drama,8,88,12,2010,12,6,Yes
2018,A Star Is Born,R,136,Drama|Music|Romance,8,88,8,2018,10,5,No
2013,Captain Phillips,PG-13,134,Biography|Drama|Thriller,7.8,83,6,2013,10,5,No
2010,127 Hours,R,94,Adventure|Biography|Drama,7.6,82,6,2011,1,5,No
2011,War Horse,PG-13,146,Drama|War,7.2,72,6,2011,12,7,No
2015,The Big Short,R,130,Biography|Comedy|Drama,7.8,81,5,2015,12,3,No
2012,Amour,PG-13,127,Drama|Romance,7.9,94,5,2012,9,4,No
2011,Midnight in Paris,PG-13,94,Comedy|Fantasy|Romance,7.7,81,4,2011,6,5,No
2011,The Artist,PG-13,100,Comedy|Drama|Romance,8,89,10,2012,1,5,Yes
2015,The Revenant,R,156,Adventure|Drama|Thriller,8,76,12,2016,1,5,No
2012,Les Misérables,PG-13,158,Drama|Musical|Romance,7.6,63,8,2012,12,2,No
2018,Bohemian Rhapsody,PG-13,134,Biography|Drama|Music,8.3,49,5,2018,11,5,No
2012,Zero Dark Thirty,R,157,Drama|History|Thriller,7.4,95,5,2013,1,5,No
2013,Her,R,126,Drama|Romance|Sci-Fi,8,90,5,2014,1,5,No
2013,American Hustle,R,138,Crime|Drama,7.3,90,10,2013,12,5,No
2013,Nebraska,R,115,Adventure|Comedy|Drama,7.7,87,6,2014,1,5,No
2018,Black Panther,PG-13,134,Action|Adventure|Sci-Fi,7.4,88,7,2018,2,5,No
2012,Django Unchained,R,165,Drama|Western,8.4,81,5,2012,12,2,No
2015,Spotlight,R,128,Crime|Drama|History,8.1,93,6,2015,11,5,Yes
2019,Ford v Ferrari,PG-13,152,Action|Biography|Drama,8.2,81,4,2019,11,5,No
2013,12 Years a Slave,R,134,Biography|Drama|History,8.1,96,9,2013,11,5,Yes
2014,The Imitation Game,PG-13,114,Biography|Drama|Thriller,8.1,73,8,2014,12,4,No
2016,Hacksaw Ridge,R,139,Drama|History|War,8.5,71,6,2016,11,5,No
2012,Beasts of the Southern Wild,PG-13,93,Drama|Fantasy,7.3,86,4,2012,7,4,No
2014,American Sniper,R,133,Action|Biography|Drama,7.3,72,6,2015,1,5,No
2014,The Grand Budapest Hotel,R,99,Adventure|Comedy|Drama,8.1,88,9,2014,3,5,No
2015,Brooklyn,PG-13,117,Drama|Romance,7.5,87,3,2015,11,3,No
2013,Philomena,PG-13,98,Biography|Drama,7.6,77,4,2013,11,3,No
2016,Arrival,PG-13,116,Drama|Mystery|Sci-Fi,8.3,81,8,2016,11,5,No
2014,Birdman or (The Unexpected Virtue of Ignorance),R,119,Comedy|Drama|Romance,7.8,88,9,2014,11,5,Yes
2016,Hell or High Water,R,102,Crime|Drama|Western,7.7,88,4,2016,8,5,No
2014,Whiplash,R,107,Drama|Music,8.5,88,5,2014,10,3,No
2019,Jojo Rabbit,PG-13,108,Comedy|Drama|War,8,58,6,2019,11,5,No
2016,Fences,PG-13,139,Drama,7.7,78,4,2016,12,7,No
2014,The Theory of Everything,PG-13,123,Biography|Drama|Romance,7.7,72,5,2014,11,3,No
2015,Room,R,118,Drama,8.2,86,4,2016,1,5,No
2019,Little Women,PG,135,Drama|Romance,8.1,91,6,2019,12,3,No
2015,The Martian,PG-13,144,Adventure|Drama|Sci-Fi,8,80,7,2015,10,5,No
2015,Bridge of Spies,PG-13,142,Drama|History|Thriller,7.6,81,6,2015,10,5,No
2016,Lion,PG-13,118,Drama,8,69,6,2017,1,5,No
2016,La La Land,PG-13,128,Comedy|Drama|Musical,8.7,93,14,2016,12,7,No
2016,Manchester by the Sea,R,137,Drama,8.4,96,6,2016,12,5,No
2017,Darkest Hour,PG-13,125,Biography|Drama|History,7.4,75,6,2017,12,5,No
2016,Hidden Figures,PG,127,Biography|Drama|History,7.9,74,3,2017,1,5,No
2017,Lady Bird,R,94,Comedy|Drama,7.9,94,5,2017,11,5,No
2016,Moonlight,R,111,Drama,8.5,99,8,2016,11,5,Yes
2017,Dunkirk,PG-13,106,Action|Drama|History,8.1,94,8,2017,7,5,No
2017,"Three Billboards Outside Ebbing, Missouri",R,115,Crime|Drama,8.3,88,7,2017,11,5,No
2017,Get Out,R,104,Horror|Mystery|Thriller,7.7,84,4,2017,2,5,No
2018,The Favourite,R,119,Biography|Comedy|Drama,7.9,90,10,2018,12,5,No
2020,Sound of Metal,R,120,Drama|Music,7.8,82,6,2020,12,5,No
2017,The Shape of Water,R,123,Adventure|Drama|Fantasy,7.9,86,13,2017,12,5,Yes
2017,Call Me by Your Name,R,132,Drama|Romance,8.3,93,4,2017,11,5,No
2017,Phantom Thread,R,130,Drama|Romance,8.4,90,6,2017,25,1,No
2018,Roma,R,135,Drama,8.1,96,10,2017,11,3,No
2018,Vice,R,132,Biography|Comedy|Drama,7.1,61,8,2018,12,2,No
2017,The Post,PG-13,116,Biography|Drama|History,7.4,83,2,2018,1,5,No
2019,Parasite,R,132,Comedy|Crime|Drama,8.6,96,6,2019,11,5,Yes
2018,Green Book,PG-13,130,Biography|Comedy|Drama,8.3,70,5,2018,11,5,Yes
2019,Once Upon a Time... in Hollywood,R,161,Comedy|Drama,7.8,83,10,2019,5,2,No
2019,Joker,R,122,Crime|Drama|Thriller,8.6,59,11,2019,10,5,No
2018,BlacKkKlansman,R,135,Biography|Crime|Drama,7.6,83,6,2018,8,5,No
2019,Marriage Story,R,137,Comedy|Drama|Romance,8.1,93,6,2019,12,5,No
2019,1917,R,119,Drama|War,8.5,78,10,2019,12,3,No
2020,Promising Young Woman,R,113,Crime|Drama|Thriller,7.5,73,5,2020,12,5,No
2020,Nomadland,R,107,Drama,7.5,93,6,2021,2,5,Yes
2020,Judas and the Black Messiah,R,126,Biography|Drama|History,7.6,85,6,2021,2,5,No
2021,Licorice Pizza,R,133,Drama|Romance,7.4,90,3,2021,11,5,
2021,Belfast,PG-13,98,Drama|Comedy,7.3,75,6,2021,11,5,
2021,CODA,PG-13,111,Drama|Musical,8,75,4,2021,8,5,
2021,Don't Look Up,R,145,Comedy|Disaster,7.2,49,4,2021,12,6,
2021,Drive My Car,R,179,Drama|Road,7.7,91,4,2021,11,5,
2021,Dune,PG-13,155,Sci-fi|Adventure,8.1,74,10,2021,10,5,
2021,King Richard,PG-13,144,Sport|Drama,7.5,76,5,2021,11,5,
2021,Nightmare Alley,R,150,Thriller|Drama,7.1,70,4,2021,12,5,
2021,The Power of the Dog,R,125,Western|Drama,6.9,89,12,2021,11,3,
2021,West Side Story,PG-13,156,Musical|Romance,7.4,85,7,2021,12,5,
